mentor,co_author,num1,db_teahcer,num2
吴建平,"王东,李福亮,郝瑞兵,宋林健,王常吉,赵邑新,李锁钢,刘莹,林嵩,吴英华,张金祥,刘鸿,尹霞,梁志勇,蒋义,冯晓东,王利,范晓勃,刘武,王沛渝,盛立杰,李风华,杨家海,朱钢,杨波,罗文,王胜灵,张威,李崇荣,程祥斌,熊勇强,李星,马辉,朱虹,段海新,周玲,吴建平,姜宁,赵有健,韩博,崔武成,陈剑,王彬,王晓峰,李贺武,吴鲲,陈修环,张新文,任罡,李中杰,丁晓乐,蔡家鹏,章淼,张培云,赵军,徐明伟,阳旺,李子木,江勇,李琦,安常青,全成斌,王建国,朱敏,鱼晓丽,王立军,施新刚,陈东洛,罗世新,石锋,王之梁,高勇,曾伟,毕军,叶明江,温世强,史美林,王继龙,崔勇,柴云鹏,周苗,乐祖晖,曹锐,喻中超,林闯,胡宇,汤秀辉,徐恪",88,"王立军,李崇荣,刘莹,李星,王之梁,马辉,段海新,徐明伟,吴建平,赵有健,杨家海,尹霞,江勇,毕军,李琦,王继龙,崔勇,全成斌,王晓峰,李贺武,朱敏,徐恪",22
吴澄,"范玉顺,孙元凯,尹文君,曹军威,石伟,柴跃廷,喻明,林慧苹,陈少卿,孙跃鹏,许青松,任守榘,周华,熊光楞,戴元顺,郝井华,宋士吉,杨英杰,杨盛,吴怡,蒋贵川,陶丹,董明宇,蒋新松,程序,祝崇隽,王然,杨建军,俞新贞,崔德光,张瑞,吴澄,韩坚,程朋,李芳芸,金尊和,刘民,崔亚军,李鹏,罗海滨,由勇,纪鹏程,范楠,王会玲,金锋,杨建华,王雄",47,"程朋,杨建军,刘民,柴跃廷,石伟,李鹏,吴澄,宋士吉",8
张尧学,"李兴,高原,田鹏伟,王晓春,常东,徐广斌,马洪军,常冬,宋建平,彭玉坤,张尧学,戴一奇,刘思平,扈维,魏子忠,乔松,陈成才,周悦芝,夏东林,孟斌,司天歌,徐鹏志,张驰,傅晓明,杜波,黄骐伟,刘云新,陈桦,金鑫,王洪波,钟鸣,邵巍,杨浩民,吕骥,方存好,史美林,匡文渊,蔡开利,白宇,杨华杰,吴超,郭关飞,罗鹏,王晓辉,盖峰,肖淑男,赵艳标,刘金钊,李涛,韦理,翁林开,张越,彭明田",53,"周悦芝,张尧学",2
张建民,"张建民,于玉贞,张应刚,张嘎,付鹏程,刘芳,王富强,牟太平,马立秋,梁东方,薛富春,张嗄,罗刚,江春波,荣冰,陈杨,王刚,李明,冯大阔,刘超,侯文峻,程嵩,殷昆亭,孙振岳,李子豪,宋飞,张丙印,胡耘,郑瑞华,濮家骝,陈胜立,李焯芬,王睿,钱纪芸",34,"张建民,于玉贞,李明,张丙印,张嘎,李焯芬,刘超,江春波,王睿",9
陈丙珍,"孔明放,吴建锋,孙柏铭,李强,姜春阳,王如强,郝俊斌,张凡,吴凯,赵劲松,李博,朱振伟,李有润,王杭州,张玉坤,金涌,陈宏,王健,张春良,高晓丹,石宇,张蕾,晏东,徐强,姜太文,任世明,何小荣,贺建农,夏禹杰,张小安,李初福,胡山鹰,彭辉,覃伟中,蒲扬飞,段永红,张建广,施文俊,袁志宏,周祥,聂秀荣,李旭,蒋东,刘喆轩,张健,沈静珠,郭彦,冯玉仲,陈宁,田澎,陈定江,卢宪茂,蒋浩,段东勇,陈丙珍,朱兵,朱剑锋,邱彤,邹来禧,赵岩,戴一阳,陈方泽,吴建昱,从松波,张能力,赵晓光,刘朝玮,张磊",68,"李有润,邱彤,李强,金涌,陈宏,张磊,袁志宏,陈丙珍,陈定江,张健,沈静珠,何小荣,赵劲松,朱兵,胡山鹰,李博,王健",17
陈肇元,"徐善华,李克非,池跃君,钱稼茹,陈肇元,郭红仙,陆新征,李春秋,卢谦,朱金铨,邢秋顺,阚永魁,张想柏,徐有邻,袁驷,谢涛,罗文斌,宋二祥,彭细荣,卫海,王志浩,季耀东,路新瀛,吴佩刚,孙宏伟,崔京浩",26,"李克非,陈肇元,郭红仙,陆新征,路新瀛,宋二祥,袁驷",7
金涌,"谢晓峰,王唐,姚文虎,王志良,韩明汉,周黎明,张英才,祁春鸣,辛洪良,周丽,汪智国,雨山江,刘罡,王铁峰,刘峰,杨卫国,王娣,王壵,陈胜,邢爱华,施卫贤,李立新,王垚,王长青,陈德明,龚燕丽,俞芷青,魏飞,胡庆元,余亚东,覃操,刘金忠,向英,梁五更,杨毅,丁石,刘畅,李有润,崔玉斌,向兰,吴群伟,宋续祺,郭艳,易江林,刁杰,张明辉,王光润,丁宇龙,吴玉龙,程易,王瑶,金永成,杨艳辉,裴广玲,周禹成,王轶,阳宜洋,刘铮,韦冰心,孙晓宇,高晗,施国强,吴庆流,陆坊斌,杨勇林,蔡平,董兰忠,王金福,陈和,崔爱莉,左宜赞,郑雨,李荣先,易伍浪,胡永琪,余皓,骆添,胡山鹰,彭秉璞,郭印诚,何虹,骆广生,王伦伟,尹秀艳,沈静珠,梁卫华,杨俊,贾新莉,张礼,双玥,邓任生,王淑芳,吴昌宁,林玉兰,崔新立,刘唐,韩宾兵,赖志平,白丁荣,吴珺,章莉,钱震,周力行,张欢,骞伟中,万晓涛,刘飞,崔哲,颜彬航,韩社教,李志强,金涌,汤效平,董斌琦,赵琳,汪展文,何红,黄水源,孙竹范,陈建平,林仟,陈定江,林靖,刘蓉,徐聪,王亭杰,朱兵,李晓崑,王德峥,韩禄,文艳,甘俊,张书良,刘会娥",134,"杨毅,姚文虎,韩明汉,颜彬航,王金福,李有润,向兰,崔爱莉,金涌,王光润,赵琳,汪展文,胡山鹰,王铁峰,刘峰,程易,郭印诚,骆广生,王垚,陈定江,沈静珠,俞芷青,魏飞,张礼,王亭杰,朱兵,王德峥,王淑芳,刘铮",29
岳光溪,"张继锋,王文选,张戟,相鹏,叶大均,王卫良,任维,彭晓峰,曾瑞良,岳光溪,田雪沁,侯祥松,凌晓聪,冯俊凯,李政,汤根土,王宇,叶科,王明敏,李博,徐猛,黎永,赵新木,李燕,李金平,蔡春荣,朱明善,徐秀请,白玉刚,李文凯,胡文斌,刘颖,管清亮,路霁翎,辛健,罗昇,肖显斌,茅泽育,刘青,徐秀清,郭远熊,高强,王进伟,张建胜,赵升伟,马明华,许昕,田勇,张扬,赵石铁,路霁鸰,刘艳霞,郝添翼,毕大鹏,周勇,杨海瑞,张巍,王补宣,金晓钟,于广辉,郭庆杰,王启民,常东武,倪维斗,张海,周军,王维城,马利强,王昕,杨艳萍,王爱民,由长福,杨石,吕俊复,吴玉新,张磊",76,"杨海瑞,张巍,王补宣,常东武,倪维斗,茅泽育,张海,岳光溪,吴玉新,张建胜,李政,张扬,吕俊复,李博,张磊",15
金国藩,"王凤涛,刘海松,朱钧,鲍鹏,卞新高,孔祥贵,吴圣涵,陆超,赵燕,苏萍,刘海涛,韩艳梅,谭峭峰,张京城,巩马理,顾华荣,徐端颐,谭耀麟,王思华,翟金会,邓超,王佳,余东校,杨怀栋,陈科新,刘兴占,张淏酥,张书练,曹良才,余官正,程慧玲,王文陆,檀文钊,郑学哲,杨昆,黄雄斌,黄东,赵瑱,付振海,颜树华,王超,汪顺利,连波,朱振东,李建华,王道义,何庆生,欧阳川,才德,何庆声,王金玉,陆思,赵丽萍,冯文毅,毛文炜,程侃,邵冰,曾吉勇,丁立,张培琨,李群庆,何树荣,李岩,徐宁汉,方仲彦,冯迪,陈谭轩,周兆英,潘龙法,殷松峰,余兴龙,张雁,黄欢,王为宇,许振丰,竺子民,马强,虞祖良,谭小地,徐立,陆达,严瑛白,冯铁荪,王津楠,邬敏贤,冯继宏,刘国栋,金国藩,张浩,黄星月,成罡,马晓苏,薛庆增,冀艳峰,朱若剑,雍涛,曾发,黄高贵,周哲海,王大陆,王建岗,杨强,黄战华,黄大为,王旭,傅杰,瞿宗耀,赫明钊,温志庆,张鹤,宋修宇,王民强,谢敬辉,周少敏,商未雄,吴周令,王崝,索忠堃,廖延彪,伊德尔,黄国亮,杨向阳",122,"丁立,李群庆,谭峭峰,杨怀栋,巩马理,朱钧,金国藩,张浩,顾华荣,杨强,黄国亮,李岩,曹良才,苏萍",14
周济,"齐建全,于相龙,毕科,王婷,孙竞博,臧涛,陈乔,刘震东,李博,谢芹,齐西伟,缪春林,梁彬,赵宏杰,张宝清,沈奇奇,陈立钦,沈建红,郝立峰,苏水源,桂治轮,黄学光,林旭平,马振伟,郭海,杜波,王常生,周晖,李宝让,曹婧,黎维彬,李勃,蔡坤鹏,周济,王昊,孙振新,张孝文,邓长生,岳振星,白洋,李吉皎,张洪国,王睿,李亚运,李龙土,蔡敏敏,马景陶",47,"岳振星,王睿,张宝清,黎维彬,李龙土,李勃,周济,李博",8
